CodigoReceita,Idade,TipoTraco,CodigoAglomerante,FCK,RelacaoAguaCimento
5036051,28,N,25051,35,0.51
6119051,28,N,19051,35,0.481
7633051,28,N,13051,35,0.555
8113051,28,N,26051,35,0.564
11065051,28,N,24051,35,0.576
11066051,28,N,29051,35,0.581
11068051,28,N,4051,35,0.637
11891051,28,N,14051,35,0.637
12283051,28,N,10051,35,0.697
12284051,28,N,18051,35,0.576
17876051,28,N,10051,35,0.544
17878051,28,N,17051,35,0.607
18938051,28,N,14051,35,0.637
21340051,28,N,59051,35,0.496
21579051,28,N,55051,35,0.598
21581051,28,N,18051,35,0.572
23849051,28,N,15051,35,0.584
26574051,28,N,65051,35,0.503
27233051,28,N,10051,35,0.544
27235051,28,N,63051,35,0.51
27237051,28,N,10051,35,0.599
27239051,28,N,41051,35,0.522
27241051,28,N,63051,35,0.522
27243051,28,N,41051,35,0.5
28445051,28,N,66051,35,0.583
29259051,28,N,68051,35,0.598
29748051,28,N,70051,35,0.553
30495051,28,N,70051,35,0.633
30689051,28,N,62051,35,0.598
30690051,28,N,69051,35,0.56
32211051,28,N,66051,35,0.583
34185051,28,N,71051,35,0.562
35979051,28,N,79051,35,0.594
37797051,28,N,75051,35,0.573
38624051,28,N,85051,35,0.553
38739051,28,N,88051,35,0.529
40092051,28,N,93051,35,0.555
28051,28,N,3051,30,0.633
29051,28,N,8051,30,0.694
30051,28,N,41051,30,0.689
31051,28,N,12051,30,0.577
1324051,28,N,10051,30,0.687
1325051,28,N,13051,30,0.63
1448051,28,N,15051,30,0.637
2788051,28,N,18051,30,0.642
4849051,28,N,4051,30,0.72
4853051,28,N,7051,30,0.736
5034051,28,N,25051,30,0.576
8107051,28,N,26051,30,0.672
8982051,28,N,29051,30,0.643
10916051,28,N,27051,30,0.668
11080051,28,N,14051,30,0.731
11576051,28,N,17051,30,0.709
12186051,28,N,17051,30,0.731
12187051,28,N,15051,30,0.637
12189051,28,N,10051,30,0.72
12190051,28,N,18051,30,0.642
13176051,28,N,11051,30,0.581
16026051,28,N,43051,30,0.575
17027051,28,N,46051,30,0.566
17890051,28,N,10051,30,0.605
17937051,28,N,17051,30,0.642
20156051,28,N,15051,30,0.64
20158051,28,N,18051,30,0.618
20829051,28,N,57051,30,0.64
21316051,28,N,59051,30,0.557
22629051,28,N,60051,30,0.643
