CodigoAglomerante,Ano,Mes,ParametroX,ParametroY,DataAlteracao
11051,2010,9,1.9138,-0.1793,2010-10-23 10:25:46.497
11051,2010,10,1.9138,-0.1793,2010-10-23 10:25:46.497
11051,2010,11,1.9138,-0.1793,2010-10-23 10:26:33.557
12051,2010,9,2.5732,-0.3563,2010-10-23 10:29:32.157
12051,2010,10,2.5732,-0.3563,2010-10-23 10:29:32.173
12051,2010,11,2.5732,-0.3563,2010-10-23 10:29:32.187
13051,2010,9,2.389,-0.2858,2010-10-23 10:30:46.53
13051,2010,10,2.389,-0.2858,2010-10-23 10:30:46.543
13051,2010,11,2.389,-0.2858,2010-10-23 10:30:46.543
14051,2010,9,1.9138,-0.1793,2010-10-23 10:33:22.88
14051,2010,10,1.9138,-0.1793,2010-10-23 10:33:22.897
12051,2010,7,3.1629,-0.508,2010-07-30 19:03:39.933
13051,2010,7,2.3734,-0.2547,2010-07-30 19:19:25.707
11051,2010,7,1.9138,-0.1793,2010-08-28 10:01:38.95
11051,2010,8,1.9138,-0.1793,2010-08-28 10:01:38.963
11051,2010,7,2.7583,-0.3873,2010-08-28 10:24:48.93
11051,2010,8,2.7583,-0.3873,2010-08-28 10:24:48.93
6051,2010,9,2.275,-0.209,2010-09-01 11:16:00.757
11051,2010,9,1.9138,-0.1793,2010-09-01 11:35:35.023
13051,2010,8,2.6314,-0.3618,2010-09-17 19:42:27.07
13051,2010,9,2.6314,-0.3618,2010-09-17 19:42:27.087
15051,2010,8,2.4318,-0.3315,2010-09-24 08:38:28.423
15051,2010,9,2.4318,-0.3315,2010-09-24 08:38:28.44
15051,2010,8,2.4916,-0.3569,2010-09-24 08:49:14.577
15051,2010,9,2.4916,-0.3569,2010-09-24 08:49:14.593
11051,2010,8,1.9138,-0.1793,2010-09-28 15:30:30.223
11051,2010,9,1.9138,-0.1793,2010-09-28 15:30:30.237
14051,2010,8,1.9138,-0.1793,2010-09-28 15:31:24.953
14051,2010,9,1.9138,-0.1793,2010-09-28 15:31:24.97
3051,2010,10,2.6133,-0.3347,2010-10-01 08:19:41.66
5051,2010,10,2.537,-0.322,2010-10-01 08:25:10.373
7051,2010,10,1.5411,-0.0836,2010-10-01 08:27:48.773
3051,2010,8,2.9153,-0.4617,2010-10-01 10:06:06.41
3051,2010,9,2.9153,-0.4617,2010-10-01 10:06:06.41
3051,2010,10,2.9153,-0.4617,2010-10-01 10:06:06.427
13051,2010,9,2.5888,-0.3674,2010-10-14 14:24:00.673
13051,2010,10,2.5888,-0.3674,2010-10-14 14:24:00.703
13051,2010,9,2.5993,-0.3419,2010-10-14 14:37:35.387
13051,2010,10,2.5993,-0.3419,2010-10-14 14:37:35.4
3051,2010,9,2.6484,-0.3701,2010-10-15 09:24:31.31
3051,2010,10,2.6484,-0.3701,2010-10-15 09:24:31.323
13051,2010,9,2.4991,-0.3199,2010-10-15 16:00:09.01
13051,2010,10,2.4991,-0.3199,2010-10-15 16:00:09.023
12051,2010,9,2.8385,-0.4348,2010-10-15 16:57:03.53
12051,2010,10,2.8385,-0.4348,2010-10-15 16:57:03.543
3051,2010,9,2.6484,-0.3701,2010-10-22 14:48:30.257
3051,2010,10,2.6484,-0.3701,2010-10-22 14:48:30.27
3051,2010,9,2.5293,-0.3303,2010-10-22 14:51:33.793
3051,2010,10,2.5293,-0.3303,2010-10-22 14:51:33.81
15051,2010,9,2.361,-0.3074,2010-10-22 17:29:40.807
15051,2010,10,2.361,-0.3074,2010-10-22 17:29:40.823
15051,2010,9,2.386,-0.3187,2010-10-22 17:32:57.283
