,CodigoReceita,Volume,TipoLancamento,QuantidadeAgua,ConsumoTotal,TipoTraco,FCK,Rompimento7Dias,Rompimento28Dias,ResultadoEsperado
3177,23009051,8.0,B,1376.0,2376.0,N,25.0,17.95,27.08,38.194212220714874
3179,23009051,8.0,B,1376.0,2376.0,N,25.0,17.66,27.87,38.194212220714874
3181,23009051,7.0,B,1204.0,2079.0,N,25.0,19.32,30.0,38.194212220714874
3193,23009051,8.0,B,1264.0,2376.0,N,25.0,20.0,27.13,42.17050439270119
3194,23009051,6.0,B,948.0,1782.0,N,25.0,19.35,29.44,42.17050439270119
3195,23009051,8.0,B,1264.0,2376.0,N,25.0,16.7,26.25,42.17050439270119
3196,23009051,8.0,B,1208.0,2376.0,N,25.0,16.55,26.24,44.311292183993636
3197,23009051,8.0,B,1208.0,2376.0,N,25.0,19.67,29.02,44.311292183993636
3198,23009051,8.0,B,1208.0,2376.0,N,25.0,18.84,27.57,44.311292183993636
3199,23009051,8.0,B,1208.0,2376.0,N,25.0,17.77,27.45,44.311292183993636
3200,23009051,8.0,B,1200.0,2376.0,N,25.0,17.2,25.29,44.62586489070235
3201,23009051,8.0,B,1200.0,2376.0,N,25.0,,,44.62586489070235
3203,23009051,7.0,B,1050.0,2079.0,N,25.0,18.42,27.39,44.62586489070235
3204,23009051,8.0,B,1200.0,2376.0,N,25.0,16.96,23.61,44.62586489070235
3206,23009051,8.0,B,1240.0,2376.0,N,25.0,18.74,25.93,43.07502017770791
3207,23009051,8.0,B,1240.0,2376.0,N,25.0,17.87,25.3,43.07502017770791
3208,23009051,8.0,B,1240.0,2376.0,N,25.0,18.23,23.58,43.07502017770791
3211,23009051,6.0,B,888.0,1782.0,N,25.0,15.03,23.58,45.26172575863697
3212,23009051,6.0,B,888.0,1782.0,N,25.0,17.57,25.18,45.26172575863697
3214,23009051,7.0,B,1106.0,2079.0,N,25.0,17.9,26.89,42.17050439270119
3215,23009051,7.0,B,1106.0,2079.0,N,25.0,17.29,24.65,42.17050439270119
3219,23009051,8.0,B,1200.0,2376.0,N,25.0,17.73,27.53,44.62586489070235
3221,23009051,8.0,B,1184.0,2376.0,N,25.0,16.77,25.1,45.26172575863697
3222,23009051,8.0,B,1184.0,2376.0,N,25.0,18.42,26.7,45.26172575863697
3226,23009051,7.0,B,945.0,2079.0,N,25.0,16.14,22.74,49.62152604010658
3228,23009051,6.0,B,810.0,1782.0,N,25.0,17.49,25.12,49.62152604010658
3230,23009051,7.0,B,1134.0,2079.0,N,25.0,16.07,22.19,40.99395973552512
3231,23009051,7.0,B,1134.0,2079.0,N,25.0,17.34,25.3,40.99395973552512
3232,23009051,7.0,B,1134.0,2079.0,N,25.0,20.28,29.33,40.99395973552512
3236,23009051,6.0,B,942.0,1752.0,N,25.0,18.76,29.41,41.66983442954346
3240,23009051,7.0,B,1099.0,2044.0,N,25.0,21.02,32.0,41.66983442954346
3241,23009051,7.0,B,1099.0,2044.0,N,25.0,18.99,29.57,41.66983442954346
3243,23009051,8.0,B,1256.0,2336.0,N,25.0,18.32,28.31,41.66983442954346
3247,23009051,4.0,B,648.0,1168.0,N,25.0,19.04,28.16,40.19736493741844
3248,23009051,8.0,B,1336.0,2336.0,N,25.0,17.71,25.97,38.776927483215374
3249,23009051,8.0,B,1336.0,2336.0,N,25.0,17.89,27.09,38.776927483215374
3252,23009051,7.0,B,1029.0,2044.0,N,25.0,15.99,25.15,44.778563287077276
3253,23009051,7.0,B,1099.0,2044.0,N,25.0,19.18,28.16,41.66983442954346
3256,23009051,8.0,B,1336.0,2336.0,N,25.0,20.47,29.98,38.776927483215374
3257,23009051,8.0,B,1336.0,2336.0,N,25.0,20.0,28.68,38.776927483215374
3259,23009051,8.0,B,1336.0,2336.0,N,25.0,21.9,29.7,38.776927483215374
3260,23009051,8.0,B,1336.0,2336.0,N,25.0,19.73,28.55,38.776927483215374
3263,23009051,7.0,B,1029.0,2016.0,N,25.0,,,48.83540097539048
3266,23009051,7.0,B,1372.0,2016.0,N,25.0,22.32,31.47,34.72629379814771
3267,23009051,7.0,B,1372.0,2016.0,N,25.0,21.13,29.58,34.72629379814771
3268,23009051,7.0,B,1372.0,2016.0,N,25.0,21.82,29.75,34.72629379814771
3269,23009051,8.0,B,1568.0,2304.0,N,25.0,19.71,26.78,34.72629379814771
3271,23009051,8.0,B,1568.0,2304.0,N,25.0,14.73,23.72,34.72629379814771
3272,23009051,8.0,B,1568.0,2272.0,N,25.0,19.62,29.32,34.06560506582175
3273,23009051,8.0,B,1568.0,2272.0,N,25.0,19.4,28.96,34.06560506582175
3277,23009051,6.0,B,1176.0,1704.0,N,25.0,19.49,28.07,34.06560506582175
3281,23009051,6.0,B,1176.0,1704.0,N,25.0,18.83,27.56,34.06560506582175
3283,23009051,6.0,B,1176.0,1704.0,N,25.0,18.17,25.08,34.06560506582175
3285,23009051,5.0,B,980.0,1420.0,N,25.0,19.58,27.7,34.06560506582175
3286,23009051,5.0,B,980.0,1420.0,N,25.0,20.36,27.93,34.06560506582175
3288,23009051,8.5,B,1666.0,2414.0,N,25.0,17.57,22.85,34.06560506582175
3289,23009051,8.0,B,1568.0,2272.0,N,25.0,19.31,27.03,34.06560506582175
3292,23009051,8.0,B,1568.0,2272.0,N,25.0,16.82,25.78,34.06560506582175
3295,23009051,7.0,B,1372.0,1988.0,N,25.0,,,34.06560506582175
3296,23009051,7.0,B,1372.0,1988.0,N,25.0,,,34.06560506582175
3302,23009051,7.0,B,1372.0,1988.0,N,25.0,,,34.06560506582175
3306,23009051,5.0,B,910.0,1520.0,N,25.0,19.91,25.54,40.91788779306597
3307,23009051,8.0,B,1456.0,2384.0,N,25.0,21.07,26.49,39.94130560445155
3308,23009051,8.0,B,1456.0,2384.0,N,25.0,23.55,29.9,39.94130560445155
3310,23009051,8.0,B,1456.0,2384.0,N,25.0,19.66,26.92,39.94130560445155
3311,23009051,8.5,B,1547.0,2533.0,N,25.0,24.44,31.89,39.94130560445155
3315,23009051,5.0,B,910.0,1490.0,N,25.0,22.26,30.14,39.94130560445155
3318,23009051,7.0,B,1274.0,2086.0,N,25.0,25.61,32.97,39.94130560445155
3319,23009051,7.0,B,1274.0,2086.0,N,25.0,28.04,33.63,39.94130560445155
3320,23009051,7.0,B,1274.0,2086.0,N,25.0,27.94,34.92,39.94130560445155
3321,23009051,7.0,B,1274.0,2086.0,N,25.0,30.0,36.14,39.94130560445155
3322,23009051,7.0,B,1330.0,2086.0,N,25.0,22.58,30.62,37.849295201591616
3323,23009051,7.0,B,1330.0,2086.0,N,25.0,22.09,29.39,37.849295201591616
3324,23009051,7.5,B,1425.0,2235.0,N,25.0,22.79,30.68,37.849295201591616
3329,23009051,7.0,B,1330.0,2002.0,N,25.0,,,35.60491568799056
3331,23009051,7.0,B,1365.0,2002.0,N,25.0,24.11,32.12,34.32144655382382
3332,23009051,8.0,B,1552.0,2288.0,N,25.0,,,34.574384657865586
3336,23009051,8.0,B,1552.0,2288.0,N,25.0,,,34.574384657865586
3337,23009051,8.0,B,1552.0,2288.0,N,25.0,19.31,30.7,34.574384657865586
3338,23009051,8.0,B,1552.0,2288.0,N,25.0,19.76,28.95,34.574384657865586
3341,23009051,8.0,B,1552.0,2288.0,N,25.0,18.61,26.64,34.574384657865586
3347,23009051,7.0,B,1330.0,2002.0,N,25.0,18.8,27.88,35.60491568799056
3353,23009051,5.0,B,980.0,1480.0,N,25.0,23.67,29.74,35.76780059687698
